,boxscore,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr
18019,201411040CHI,Orlando,ORL,90,Chicago,CHI,98,Chicago,CHI,Orlando,ORL
18020,201411040IND,Milwaukee,MIL,87,Indiana,IND,81,Milwaukee,MIL,Indiana,IND
18021,201411040LAL,Phoenix,PHO,112,LA Lakers,LAL,106,Phoenix,PHO,LA Lakers,LAL
18022,201411040MIA,Houston,HOU,108,Miami,MIA,91,Houston,HOU,Miami,MIA
18023,201411040NOP,Charlotte,CHO,91,New Orleans,NOP,100,New Orleans,NOP,Charlotte,CHO
18024,201411040NYK,Washington,WAS,98,New York,NYK,83,Washington,WAS,New York,NYK
18025,201411040POR,Cleveland,CLE,82,Portland,POR,101,Portland,POR,Cleveland,CLE
18026,201411040TOR,Oklahoma City,OKC,88,Toronto,TOR,100,Toronto,TOR,Oklahoma City,OKC
18027,201411050BOS,Toronto,TOR,110,Boston,BOS,107,Toronto,TOR,Boston,BOS
18028,201411050BRK,Minnesota,MIN,98,Brooklyn,BRK,91,Minnesota,MIN,Brooklyn,BRK
18029,201411050CHO,Miami,MIA,89,Charlotte,CHO,96,Charlotte,CHO,Miami,MIA
18030,201411050DET,New York,NYK,95,Detroit,DET,98,Detroit,DET,New York,NYK
18031,201411050GSW,LA Clippers,LAC,104,Golden State,GSW,121,Golden State,GSW,LA Clippers,LAC
18032,201411050MIL,Chicago,CHI,95,Milwaukee,MIL,86,Chicago,CHI,Milwaukee,MIL
18033,201411050PHI,Orlando,ORL,91,Philadelphia,PHI,89,Orlando,ORL,Philadelphia,PHI
18034,201411050PHO,Memphis,MEM,102,Phoenix,PHO,91,Memphis,MEM,Phoenix,PHO
18035,201411050SAC,Denver,DEN,109,Sacramento,SAC,131,Sacramento,SAC,Denver,DEN
18036,201411050SAS,Atlanta,ATL,92,San Antonio,SAS,94,San Antonio,SAS,Atlanta,ATL
18037,201411050UTA,Cleveland,CLE,100,Utah,UTA,102,Utah,UTA,Cleveland,CLE
18038,201411050WAS,Indiana,IND,94,Washington,WAS,96,Washington,WAS,Indiana,IND
18039,201411060HOU,San Antonio,SAS,81,Houston,HOU,98,Houston,HOU,San Antonio,SAS
18040,201411060POR,Dallas,DAL,87,Portland,POR,108,Portland,POR,Dallas,DAL
18041,201411070BOS,Indiana,IND,98,Boston,BOS,101,Boston,BOS,Indiana,IND
18042,201411070BRK,New York,NYK,99,Brooklyn,BRK,110,Brooklyn,BRK,New York,NYK
18043,201411070CHO,Atlanta,ATL,119,Charlotte,CHO,122,Charlotte,CHO,Atlanta,ATL
18044,201411070DEN,Cleveland,CLE,110,Denver,DEN,101,Cleveland,CLE,Denver,DEN
18045,201411070DET,Milwaukee,MIL,95,Detroit,DET,98,Detroit,DET,Milwaukee,MIL
18046,201411070OKC,Memphis,MEM,91,Oklahoma City,OKC,89,Memphis,MEM,Oklahoma City,OKC
18047,201411070ORL,Minnesota,MIN,103,Orlando,ORL,112,Orlando,ORL,Minnesota,MIN
18048,201411070PHI,Chicago,CHI,118,Philadelphia,PHI,115,Chicago,CHI,Philadelphia,PHI
18049,201411070PHO,Sacramento,SAC,114,Phoenix,PHO,112,Sacramento,SAC,Phoenix,PHO
18050,201411070TOR,Washington,WAS,84,Toronto,TOR,103,Toronto,TOR,Washington,WAS
18051,201411070UTA,Dallas,DAL,105,Utah,UTA,82,Dallas,DAL,Utah,UTA
18052,201411080ATL,New York,NYK,96,Atlanta,ATL,103,Atlanta,ATL,New York,NYK
18053,201411080CHI,Boston,BOS,106,Chicago,CHI,101,Boston,BOS,Chicago,CHI
18054,201411080HOU,Golden State,GSW,98,Houston,HOU,87,Golden State,GSW,Houston,HOU
18055,201411080IND,Washington,WAS,97,Indiana,IND,90,Washington,WAS,Indiana,IND
18056,201411080LAC,Portland,POR,102,LA Clippers,LAC,106,LA Clippers,LAC,Portland,POR
18057,201411080MIA,Minnesota,MIN,92,Miami,MIA,102,Miami,MIA,Minnesota,MIN
18058,201411080MIL,Memphis,MEM,92,Milwaukee,MIL,93,Milwaukee,MIL,Memphis,MEM
18059,201411080SAS,New Orleans,NOP,100,San Antonio,SAS,99,New Orleans,NOP,San Antonio,SAS
